,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,24999.4997226,0.999770229839,-2.67683829608e-05,0.000106786119721,-1.00012719957,-0.000446006734954,24990.5361867,0.999922050883,4.32953464349e-05,0.000188863093204,0.999796198887,-4.69640591614e-05
$\sigma$,165.123830273,0.00529010596709,0.00496604597919,0.00479661034117,0.00705859069097,0.00722719766034,173.885470941,0.00544928368211,0.00478779548929,0.00480832129847,0.0070628134152,0.00707774435504
$\sigma_{\mu}$,5.22167399633,0.000167287839196,0.000157040162594,0.000151682137264,0.000223212236543,0.000228544057069,5.49874140186,0.000172321480519,0.000151403387172,0.000152052470251,0.000223345770808,0.000223817928583
