,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,24986.2980203,0.99951762844,-6.84590690607e-05,0.000101908682923,-0.999335235735,-0.00192783808836,24995.3955311,0.999462438751,-0.000146774094168,0.000180407188234,1.00092497318,6.52480917296e-05
$\sigma$,175.086745965,0.00696395303606,0.00616114508171,0.00610142882605,0.0577593264655,0.0596119866005,179.37839422,0.00700152963705,0.00608175847783,0.00617786893846,0.0582823766937,0.0583736094337
$\sigma_{\mu}$,5.53672905356,0.000220219531124,0.000194832514529,0.000192944120717,0.00182651027748,0.00188509653505,5.6724428876,0.000221407807582,0.00019232208969,0.000195361369315,0.001843050578,0.00184593561056
