,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,25031.7326121,1.00059929449,0.000981275471442,0.000320306211126,-1.2007799298,1.16152335056e-05,24959.7485645,0.999504648955,-4.96891769407e-05,-0.000141904208924,1.19966081214,0.000249162425825
$\sigma$,372.820078204,0.00785666789046,0.00781135314061,0.0057396879891,0.00930952336129,0.00976236336026,374.615450339,0.00826775857827,0.00785531401521,0.00571105227643,0.00945946598773,0.00987107967973
$\sigma_{\mu}$,11.7896060457,0.000248449653534,0.000247016675322,0.000181504871043,0.000294392977522,0.000308713035646,11.8463806976,0.000261449482517,0.000248406840239,0.000180599330298,0.000299134579701,0.00031215094753
