,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,24959.3191749,0.999108242377,-0.000585389111368,-0.000251517326601,-1.20140300477,-0.000324348420089,25035.8767249,1.00054720412,0.000863112364302,-0.000160204485606,1.19810602155,0.000209263191198
$\sigma$,402.286738831,0.00841260514748,0.00829794579472,0.0064437332161,0.0167994597989,0.00819610684967,404.168767997,0.00867573064451,0.00824220005305,0.00619519505718,0.0170467027862,0.00794355011655
$\sigma_{\mu}$,12.7214236719,0.000266029933217,0.000262404086119,0.000203768735974,0.000531245564249,0.000259183655911,12.7809386597,0.000274350692028,0.000260641250984,0.000195909269297,0.000539064074004,0.00025119711076
