,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,24982.17191,0.999417033332,0.000262108493542,4.16635053299e-05,-0.80014893691,-7.06009271667e-07,24993.6153566,0.99962227953,7.70896553062e-05,-0.000248439998749,0.799760677526,-0.000134783457857
$\sigma$,177.829281719,0.00662523430858,0.00591332853887,0.00617392790496,0.0079484294147,0.00832975255704,169.972286202,0.00688628207849,0.0060895092786,0.0061179299667,0.00781445171573,0.00823996865415
$\sigma_{\mu}$,5.62345564903,0.000209508304474,0.000186995867357,0.000195236742894,0.000251351407715,0.000263409904259,5.37499563506,0.000217763359784,0.000192567191531,0.000193465932602,0.000247114660871,0.000260570687955
