,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,-12.5696613525,-0.00140622991473,-0.000766680239439,0.000296011176362,3.08103959186e-05,0.000126013616918,3.09226039009,-0.000993535716893,-0.000694395045608,0.000693556182004,1.74652247054e-05,0.00056531116728
$\sigma$,203.475344245,0.00612295397469,0.00562320392676,0.00565335416866,0.00575678295549,0.00675926702736,199.472637702,0.00633992549983,0.00557782434334,0.00558502538836,0.00588367684123,0.0068130920148
$\sigma_{\mu}$,6.43445535501,0.000193624805684,0.000177821321562,0.000178774755926,0.000182045461346,0.000213746791197,6.30787866019,0.000200486047752,0.000176386293133,0.000176614010171,0.000186058198347,0.000215448886751
