,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,-4.97898313216,-0.000282386087622,0.000213366549916,-0.000281039888309,0.000518568225404,-0.000189394251829,-11.6288168672,-0.000333987294178,-0.000248795842387,0.000120173237445,-0.00012111861562,-0.000254642401208
$\sigma$,172.856419201,0.00719207375032,0.00607507204587,0.00613184998005,0.00815858045209,0.00845857689093,173.379780447,0.00675688721613,0.00626927977924,0.00616835054302,0.00792042047636,0.00840133823415
$\sigma_{\mu}$,5.46619992857,0.000227433341509,0.000192110646146,0.000193906122074,0.000257996967023,0.00026748368739,5.48275006432,0.000213671534958,0.000198252033912,0.000195060371223,0.000250465687315,0.000265673642134
