,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,-3.55668501851,-0.000277554722343,7.36313320342e-05,-1.35561038833e-05,2.76191911895e-05,-0.000263890958186,-4.6818661068,-0.000120681998704,-0.000139559033643,0.000123609991217,0.000362741573016,-0.000153455797758
$\sigma$,170.732684302,0.00565816403443,0.00489303439391,0.00485339775055,0.00735020989336,0.00697668328746,172.226957321,0.00563867182776,0.00481266325158,0.00477962607047,0.00712681779835,0.00739829781995
$\sigma_{\mu}$,5.39904153428,0.000178926857236,0.000154731333543,0.000153477912825,0.000232434045433,0.00022062209702,5.44629459615,0.00017831045954,0.000152189774864,0.000151145047466,0.000225369767118,0.000233954719193
