,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,24974.9866197,0.990905831844,-0.00859762527352,-3.36102004228e-05,-0.903839251212,-0.000179954468747,24964.7395093,0.991354538655,-0.00876024514886,0.000181508742951,0.903988434525,-0.000229917330365
$\sigma$,215.176831039,0.00827428718059,0.00729264981119,0.00747955877817,0.00579072890904,0.00733791408706,207.502727359,0.00836359247464,0.00753977500209,0.00731006424748,0.00571516038924,0.00702582772781
$\sigma_{\mu}$,6.80448885781,0.00026165593505,0.000230613835813,0.000236524416321,0.000183118926651,0.000232045217897,6.56181239151,0.000264480016413,0.000238428620518,0.000231164528642,0.000180729240232,0.000222176180678
