,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,24996.0144861,0.999806673018,1.15449329068e-05,0.000698403240689,-0.900196803191,0.00044715446755,24995.8992717,0.999884640211,-0.000330524427036,1.51759734792e-06,0.899983041032,0.00013795594245
$\sigma$,165.423311679,0.00677728010791,0.00597195639055,0.00579931408403,0.00809137531299,0.00805234258814,173.44695874,0.00683037365778,0.00624672962914,0.00629769714503,0.00767999217551,0.0081604867098
$\sigma_{\mu}$,5.23114442995,0.00021431641482,0.000188849842813,0.000183390413722,0.000255871753923,0.000254637430785,5.48487442847,0.000215995380286,0.000197538935554,0.000199150669922,0.000242862676869,0.000258057248185
