,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,24991.742486,0.999988085449,-0.000125436594717,2.95886126571e-05,-1.09946796497,-0.00205569229792,24999.1085782,0.999972043503,6.6808226149e-05,1.83198822503e-05,1.09745953627,-0.00183236381589
$\sigma$,171.418196881,0.0052812252362,0.00485846153133,0.00483451801678,0.0575734870289,0.0575165915114,166.180961453,0.00547271381475,0.00492151172964,0.00469616958751,0.0588481636493,0.0598167104663
$\sigma_{\mu}$,5.42071934543,0.000167007005827,0.000153638043633,0.000152880883222,0.0018206335185,0.00181883432426,5.25510341947,0.000173062406369,0.000155631865969,0.000148505921749,0.0018609423325,0.00189157047212
