,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,24977.6853351,0.991971292966,-0.0066997622126,-0.000107772028128,-0.801129595174,0.000702280399829,24945.0833043,0.991859193757,-0.00717650868311,-0.000370666962528,0.802559799143,-0.000877722937421
$\sigma$,641.611068575,0.00988252998721,0.00957129202456,0.0132382482486,0.0621929288636,0.0629984405987,630.932469803,0.00968339309311,0.00955317959666,0.013350953364,0.0637961789369,0.0631513924281
$\sigma_{\mu}$,20.2895234867,0.000312513038045,0.000302670829482,0.000418630166964,0.00196671309566,0.00199218561331,19.9518365433,0.00030621577653,0.000302098064221,0.00042219421565,0.00201741231456,0.00199702237484
