,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,-8.11233150734,-0.000383984190321,-0.000105031085164,-0.000237542769544,0.000111210153345,-3.10930801233e-05,-9.94626733115,-0.000236396639049,0.000118559721621,-0.000181573824745,-0.000130180761636,-4.7157297352e-05
$\sigma$,173.50492465,0.00544590003636,0.0046515182049,0.00497116012442,0.00738234452732,0.00720595793426,173.448046979,0.00541184988781,0.00504364311484,0.00482012357676,0.00706192078201,0.00701245373432
$\sigma_{\mu}$,5.48670747151,0.000172214480245,0.000147093921052,0.000157201886066,0.000233450231784,0.000227872397956,5.4849088416,0.000171137720004,0.000159493999479,0.00015242569106,0.000223317543268,0.00022175325787
