,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
0,25150.7608236,0.989007350014,-0.00453299295456,0.00943794152611,-0.751634520495,-0.045464142556,25003.1368105,0.998145123409,0.00970440680394,-0.0091710780414,0.776593803901,0.0561773221014
1,24996.7441757,0.993928931742,0.0100852707491,0.0127782207239,-0.599699601767,-0.0067215286126,24705.3886006,0.99425764071,0.00636149600477,-0.00746748527232,0.754609752979,0.0363790725887
2,24915.5668746,0.999899035334,-0.00047869843122,-0.00398479771543,-0.616927999504,0.07266815524,24723.0657084,0.984625339924,0.00820831546437,0.000824287568636,0.711667423501,0.091344128485
3,24857.8811746,0.997486651813,0.00767861571701,0.00313305419868,-0.732034045541,0.0777408759962,24945.6207987,1.00076948698,-0.00281528652407,0.00154075737054,0.740380405676,0.00742894940328
4,25101.5928936,0.987732153198,-0.00529187395724,-2.65900921742e-05,-0.764451324662,0.0783089986266,24851.9715838,1.0065461305,-0.00794956152298,-0.0159743309726,0.692561926318,-0.0688987087236
5,25214.0213929,1.00431014157,0.0034241267436,-0.0116372077074,-0.671661494184,0.0567395142656,25279.5001205,1.0033030059,0.00306210831409,0.00402174539845,0.674526515194,-0.0396141098053
6,25143.1196288,1.00869267189,-0.00391701225677,-0.00222544166534,-0.758410151266,-0.00662422992994,24875.2434564,0.995741722619,-0.00620350032745,-0.00929150795256,0.691847038226,0.0680201408116
7,25016.4370492,1.00270232049,0.000978770494254,-0.013068531163,-0.766032045239,0.0644837183282,25171.9477309,1.00341900927,-0.000511794281434,0.0101780958127,0.740851304812,0.0278504719886
8,25159.7272242,0.99684802398,-0.00294824542041,-0.0059781797723,-0.697881739777,0.0747296704347,24809.9674615,0.992020364501,-0.000629918882743,-0.000736665809851,0.673746641055,0.0470922842057
9,25019.0082444,0.990598404773,-0.00694330627105,0.00394241260921,-0.689668150375,-0.00439345380399,24933.4902289,1.00701128522,0.00915418847853,-0.00447286383158,0.736033524282,0.0504136744991
