,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,24785.8096548,0.992212935166,-0.0071724886238,-0.000196671797175,-0.711177458739,0.00265811118524,25204.8763366,0.995172178354,-0.00514687745116,0.000623986105211,0.70150985988,-0.00182680753158
$\sigma$,7935.14841821,0.0606422328907,0.0635791064163,0.0248707440257,0.223663453525,0.0741922898703,7944.06854453,0.0643090097297,0.067057275393,0.0287496905686,0.224547185361,0.0741343171113
$\sigma_{\mu}$,250.93142573,0.00191767578333,0.00201054787874,0.000786481982243,0.00707285942478,0.00234616620813,251.213504892,0.00203362944816,0.00212053723927,0.000909145042217,0.00710080547922,0.00234433294853
