,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,-40.6808251206,-0.000891757622949,-0.000585389111368,-0.000251517326601,-0.00140300477029,-0.000324348420089,35.8767249424,0.000547204124265,0.000863112364302,-0.000160204485606,-0.0018939784528,0.000209263191198
$\sigma$,402.28673883,0.00841260514748,0.00829794579472,0.0064437332161,0.0167994597988,0.00819610684967,404.168767999,0.00867573064445,0.00824220005305,0.00619519505718,0.0170467027861,0.00794355011655
$\sigma_{\mu}$,12.7214236718,0.000266029933217,0.000262404086119,0.000203768735974,0.000531245564246,0.000259183655911,12.7809386598,0.000274350692026,0.000260641250984,0.000195909269297,0.000539064074002,0.00025119711076
