,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,25003.0676461,0.999761447536,9.73354947456e-05,-0.000357871055335,-0.800264579262,-0.000279966761667,24998.239807,0.999993839997,-9.3423547451e-05,-1.34379844217e-05,0.799978451887,-3.40422057663e-05
$\sigma$,175.703275685,0.00536280430003,0.00480934960884,0.00471178968242,0.00715014448972,0.00700675728702,168.697438768,0.00534396155706,0.00483184644114,0.00473696946673,0.00736549566812,0.00709753225622
$\sigma_{\mu}$,5.55622543518,0.000169586762338,0.00015208498828,0.000148999872521,0.000226107421868,0.00022157312039,5.33468141943,0.000168990902487,0.000152796400582,0.000149796127215,0.000232917424074,0.000224443676962
