,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,-4.3192252357,-0.000119720210791,-6.98276999208e-05,-0.000187870569417,0.000310567762777,8.13802131696e-05,-0.108627937353,-0.000142697266497,-0.000179545575508,-4.64774272643e-05,0.00017266721454,9.55281059971e-05
$\sigma$,170.017028201,0.00540000018436,0.00476203348416,0.00475073268949,0.00714591342288,0.00739959905601,168.901120883,0.00538790314477,0.00479081390831,0.00500908060222,0.0070053225296,0.00741675381208
$\sigma_{\mu}$,5.37641050127,0.000170762999479,0.000150588721039,0.000150231358534,0.000225973623787,0.00023399586789,5.34112241347,0.000170380457499,0.000151498837963,0.000158401036864,0.000221527749376,0.000234538348909
