,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,-17.930163316,-0.000781410268594,5.24844638455e-05,-0.000276449401761,0.00107469092064,0.000408967607111,12.7374801172,0.000111345471472,0.000567084167994,-0.000124194482592,7.19683387729e-05,-3.90923656902e-05
$\sigma$,520.111453453,0.0116110755293,0.0113696898638,0.00815741555211,0.0238031542938,0.0106782482096,520.371884852,0.0114519057925,0.0111648711745,0.00795937694947,0.0232790694917,0.0110083088001
$\sigma_{\mu}$,16.4473683005,0.000367174447567,0.000359541162594,0.000257960129651,0.000752721830647,0.000337675857628,16.4556038645,0.000362141058541,0.000353064226939,0.000251697599162,0.00073614881403,0.000348113289947
