,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,24924.9561534,0.983108248007,-0.0166109092193,9.80502037836e-05,-0.809928820774,-0.000265687752874,24925.7232041,0.983402925542,-0.0163129536957,0.000164836646693,0.809929080521,-0.000234000167149
$\sigma$,210.647147081,0.00801223541454,0.00776743853342,0.00785979803242,0.0058553309928,0.00698923330323,212.89774205,0.00822371341473,0.00754542237149,0.00778695114373,0.00582109082647,0.00679647791111
$\sigma_{\mu}$,6.66124767393,0.000253369130594,0.00024562797351,0.000248548637313,0.000185161823914,0.000221018963365,6.73241773584,0.00026005665215,0.000238607206019,0.000246245016426,0.000184079054784,0.000214923502661
