,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
0,-179.053499119,-0.0259939848465,-0.0172490592548,0.00934345858503,-0.011998796309,-0.000411334113418,94.9549495497,-0.00736347872799,-0.0187856719554,0.00820746346426,0.0109483798165,0.00437404455656
1,-269.296845545,-0.019633291742,-0.0299865675606,0.00774006600112,-0.00842136314943,0.00163652293493,-178.256674573,-0.0388439916419,-0.0193611206553,0.00524873277231,0.00473664434041,0.00462263530108
2,-132.675516992,-0.00989684596214,-0.0221082378734,0.00533953136863,-0.0143558223819,0.00459975700205,-53.632619144,-0.0149472230865,-0.0147807687765,-0.0117867283097,0.0106927146436,0.00112467469262
3,-258.97272436,-0.0150346113884,-0.0126716354144,0.0100814905007,-0.0199941329135,-0.00456835189392,-291.524588271,-0.0219522530125,-0.013155675536,-0.00955002207719,0.0175399634999,-0.00333908937891
4,-84.0586929578,-0.0202713608354,-0.0223775590487,-0.0121529493161,-0.0213993646422,-0.00395494378016,-8.22209696925,-0.0159771600473,-0.0197109199079,-0.00132236872192,0.0237217644317,0.00276036011031
5,-27.9403787963,-0.00466428273924,-0.0197291321703,-0.0121370058738,-0.0118775051263,0.00854908456356,-160.043137381,-0.0153566099165,-0.00250363169781,0.00364037802345,0.0187612269549,1.11234124925e-07
6,-235.045709298,-0.027607008918,-0.0143022062331,-0.0038702789857,-0.00726981694033,0.00549465131166,-365.531195466,-0.0216853568358,-0.0271814506887,-0.00517879918202,0.00335002764261,-0.000595437149273
7,-101.531607314,-0.0183637050705,-0.0191901089476,-0.00931632278313,-0.00998429369771,-0.00312744651696,172.259824282,-0.0126190891989,-0.0174228899755,-0.00020782397439,0.00867968074321,0.00710088821457
8,-75.7330060542,-0.022168126694,-0.0270181273361,-0.00861428012379,-0.00706961005934,0.00470549728383,-133.661726987,-0.0280409124355,-0.0322893760787,0.0019542400869,0.00352447109457,0.00380343362326
9,-90.6842401291,-0.0151922345975,-0.021209599143,0.0114890238826,-0.0133425187695,-0.00931454522569,-104.526152576,-0.0175536509039,-0.0221815265899,0.00518030526996,0.0134069100864,-0.000465326557697
10,-109.718317544,-0.026706436512,-0.00650656938833,0.00868638941468,-0.012857004044,0.00417032081248,180.421990389,-0.0102949998128,-0.014375391189,0.00392498408303,0.00940790205712,-0.00576143884645
11,-214.064319266,-0.0186528364084,-0.0128414499057,0.0158666348047,-0.00324556914337,-0.00374972986827,-211.777412349,-0.0184734585688,-0.0137859506965,0.0087479340267,0.000214264249022,-0.00546149376514
12,189.793552705,-0.00649026501037,-0.0262811597517,0.00647453458296,-0.00537242321479,-0.00463466565843,635.248395341,-0.00344758767646,-0.0204128455842,-0.000488126368943,0.0103397636001,-0.00627695253186
13,-3.4991334856,-0.0199641088859,-0.0090898985591,-0.00693572570573,-0.0150629182184,-0.00912478083628,-67.4188855963,-0.0112552115827,-0.0103307071635,0.00564120036069,0.0137256800006,0.00764926736878
14,-157.699295084,-0.0216469885744,-0.00988489603322,-0.00969820597992,-0.00445629791222,0.00419306161203,18.4347954321,-0.0181433364468,-0.009924711789,-0.0128031185256,0.00667716354213,0.00553748413721
15,-60.4726871813,-0.00959168598798,-0.0238824774923,-0.000789920463135,0.00295449326837,-0.00951929089705,89.8140522104,-0.0206420541472,-0.0227016957307,-0.0208344645538,-0.00105611692604,-0.00304498614738
16,-224.967056426,-0.0212938601698,-0.0142354024307,-0.000736536919051,-0.0150825736542,-0.00808060477456,-204.892451313,-0.0255284490231,-0.0165087794342,-0.00501983598721,0.0143038712884,-0.00504474501373
17,-253.466574266,-0.0183616709812,-0.00903465639184,-0.00663628603542,-0.00206427624335,0.00229224661793,-65.5776032685,-0.00988374278487,-0.0143494090093,-0.00566231028386,0.00431275708153,-0.00545114951896
18,231.173648749,-0.0209437716221,-0.031909393036,-0.0135147371459,0.00379672885549,0.00260910170566,-321.554710127,-0.022728255125,-0.0211241822183,0.0100185183436,-0.00112450129157,0.00235067967773
