,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,-135.695744008,-0.0250154801289,-0.0245987141035,-0.00028127216513,-0.0308350507987,-0.000157994110676,-143.878576425,-0.0254735062294,-0.0247968136681,-0.000527246908751,0.0196413545021,-0.000401492045189
$\sigma$,616.191809264,0.0119987391358,0.0122037423791,0.0158870116689,0.217988980744,0.0507555549322,612.247104017,0.0122405016614,0.0121734691116,0.016454522145,0.220095541487,0.0540794150071
$\sigma_{\mu}$,19.4856959281,0.000379433447192,0.00038591621896,0.000502391420873,0.0068934168397,0.00160503157492,19.3609533953,0.000387078649531,0.000384958894184,0.000520337677879,0.00696003213948,0.00171014125952
