,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,25004.9931889,0.999960180632,-0.000358148094087,-0.00010635649039,-0.798422187397,0.000425520829044,25001.7945396,0.999661773593,8.44660567731e-05,0.000457800723431,0.79872352246,-0.000895988229435
$\sigma$,168.038021953,0.00690663028011,0.00623626604881,0.00623192094584,0.0571814730336,0.0588268120074,177.327583398,0.0066310500606,0.00606371849374,0.00639919111533,0.0585388475379,0.058347949426
$\sigma_{\mu}$,5.31382882881,0.000218406826418,0.00019720804809,0.00019707064387,0.0018082369475,0.0018602671343,5.60759055512,0.000209692214701,0.000191751615303,0.000202360191071,0.00185116089821,0.00184512416986
