,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,-0.784235425613,-0.00164568026425,-0.000687570976333,-0.000256732247048,-0.00025066081149,-9.71828753116e-05,-4.50084373817,-0.0016603397375,-0.00113442021839,-0.000439082263299,0.000454458949111,0.00010042112399
$\sigma$,201.643320398,0.00763876868807,0.00720049299983,0.00738253594839,0.00621756080054,0.00739234147372,201.203312929,0.00758881144542,0.00725291435237,0.00730967549509,0.00635717466467,0.0075277347488
$\sigma_{\mu}$,6.37652167415,0.000241559075735,0.000227699581556,0.00023345628505,0.000196616536203,0.000233766362987,6.36260741626,0.000239979289011,0.000229357290276,0.000231152235212,0.000201031514239,0.000238047874278
